X,Y,Concentrations,Migration_front,Vx,Vy,Q
5.0,5.0,0.0,0,0.0,0.0,0.0
5.0,15.0,0.0,0,-0.016412935032533552,0.0,0.0
5.0,25.0,0.0,0,-0.017110542655437287,0.0,0.0
5.0,35.0,0.0,0,-0.017823944071980652,0.0,0.0
5.0,45.0,0.0,0,-0.018549412168254974,0.0,0.0
5.0,55.0,0.0,0,-0.01928225064383012,0.0,0.0
5.0,65.0,0.0,0,-0.020016675767018228,0.0,0.0
5.0,75.0,0.0,0,-0.020745714413232398,0.0,0.0
5.0,85.0,0.0,0,-0.021461135080442534,0.0,0.0
5.0,95.0,0.0,0,-0.022153433512005986,0.0,0.0
5.0,105.0,0.0,0,-0.022811898562924503,0.0,0.0
5.0,115.0,0.0,0,-0.023424785358348257,0.0,0.0
5.0,125.0,0.0,0,-0.023979619513173425,0.0,0.0
5.0,135.0,0.0,0,-0.02446364614826943,0.0,0.0
5.0,145.0,0.0,0,-0.024864419496106915,0.0,0.0
5.0,155.0,0.0,0,-0.02517050389167159,0.0,0.0
5.0,165.0,0.0,0,-0.025372228664552444,0.0,0.0
5.0,175.0,0.0,0,-0.02546241459591739,0.0,0.0
5.0,185.0,0.0,0,-0.02543697639533887,0.0,0.0
5.0,195.0,0.0,0,-0.025295310948662064,0.0,0.0
5.0,205.0,0.0,0,-0.025040407119388472,0.0,0.0
5.0,215.0,0.0,0,-0.02467865526466877,0.0,0.0
5.0,225.0,0.0,0,-0.02421938309185989,0.0,0.0
5.0,235.0,0.0,0,-0.023674186436796203,0.0,0.0
5.0,245.0,0.0,0,-0.023056148779121034,0.0,0.0
5.0,255.0,0.0,0,-0.02237904752810955,0.0,0.0
5.0,265.0,0.0,0,-0.021656630666910773,0.0,0.0
5.0,275.0,0.0,0,-0.02090202123085822,0.0,0.0
5.0,285.0,0.0,0,-0.020127277661517583,0.0,0.0
5.0,295.0,0.0,0,-0.01934311214010847,0.0,0.0
5.0,305.0,0.0,0,-0.018558750404249456,0.0,0.0
5.0,315.0,0.0,0,-0.01778190617590283,0.0,0.0
5.0,325.0,0.0,0,-0.017018840009234957,0.0,0.0
5.0,335.0,0.0,0,-0.016274474000295983,0.0,0.0
5.0,345.0,0.0,0,-0.015552538220118897,0.0,0.0
5.0,355.0,0.0,0,-0.01485573020105287,0.0,0.0
5.0,365.0,0.0,0,-0.014185874166548759,0.0,0.0
5.0,375.0,0.0,0,-0.01354407131960758,0.0,0.0
5.0,385.0,0.0,0,-0.012930836156502685,0.0,0.0
15.0,5.0,0.0,0,0.0,-0.012215246028571079,0.0
15.0,15.0,0.0,0,-0.016616401349866358,-0.012011779711238346,0.0
15.0,25.0,0.0,0,-0.017365168197407962,-0.011757154169267679,0.0
15.0,35.0,0.0,0,-0.018135065626115485,-0.011446032615132804,0.0
15.0,45.0,0.0,0,-0.018922493031388803,-0.011072951751998964,0.0
15.0,55.0,0.0,0,-0.019722741671870006,-0.010632460723959075,0.0
15.0,65.0,0.0,0,-0.020529823384444097,-0.010119313106533207,0.0
15.0,75.0,0.0,0,-0.021336306623620332,-0.009528720896145312,0.0
15.0,85.0,0.0,0,-0.022133179706940804,-0.008856676269646951,0.0
15.0,95.0,0.0,0,-0.022909769417191465,-0.008100340364461608,0.0
15.0,105.0,0.0,0,-0.023653751294970243,-0.007258487632415787,0.0
15.0,115.0,0.0,0,-0.024351293694871094,-0.006331979295893041,0.0
15.0,125.0,0.0,0,-0.024987377500933473,-0.005324221308132961,0.0
15.0,135.0,0.0,0,-0.025546323237162046,-0.004241544219240312,0.0
15.0,145.0,0.0,0,-0.026012533857754132,-0.003093429857593111,0.0
15.0,155.0,0.0,0,-0.02637142432873444,-0.0018925094205302314,0.0
15.0,165.0,0.0,0,-0.02661046289281302,-0.0006542751922696553,0.0
15.0,175.0,0.0,0,-0.026720204373981954,0.0006035145857949013,0.0
15.0,185.0,0.0,0,-0.026695167944656404,0.0018617061351124202,0.0
15.0,195.0,0.0,0,-0.026534414344015655,0.0031008095304660105,0.0
15.0,205.0,8.705610415916583e-59,0,-0.02624171662525118,0.004302119036328703,0.0
15.0,215.0,4.281688891206315e-59,0,-0.02582528746808037,0.00544875123974034,0.0
15.0,225.0,2.763452634866781e-59,0,-0.025297106418124955,0.006526474566005409,0.0
15.0,235.0,2.5413742748102676e-59,0,-0.024671958779565115,0.007524246908774336,0.0
15.0,245.0,2.8955526482882323e-59,0,-0.023966335861091783,0.008434433990745137,0.0
15.0,255.0,3.901843096735785e-59,0,-0.023197347338348856,0.00925273380098433,0.0
15.0,265.0,6.040926180803349e-59,0,-0.02238176684990098,0.009977869983974614,0.0
15.0,275.0,1.0588621320105333e-58,0,-0.02153528568149899,0.01061113443461525,0.0
15.0,285.0,2.0833019597929698e-58,0,-0.02067200161726882,0.011155858390366619,0.0
15.0,295.0,4.567239267911704e-58,0,-0.019804131627646358,0.01161687787790448,0.0
15.0,305.0,1.1082325422692354e-57,0,-0.018941912792805785,0.012000040266460812,0.0
15.0,315.0,2.957858970930493e-57,0,-0.018093645329575442,0.012311779420133444,0.0
15.0,325.0,8.632821800961903e-57,0,-0.017265831463594304,0.012558770874492786,0.0
15.0,335.0,2.7400556518167427e-56,0,-0.016463370027700548,0.012747666901897351,0.0
15.0,345.0,9.408722525787592e-56,0,-0.01568977549486128,0.012884904176639737,0.0
15.0,355.0,3.477947030998993e-55,0,-0.014947399200329527,0.012976573175916353,0.0
15.0,365.0,1.3775574957091613e-54,0,-0.014237638402061228,0.013028337411428885,0.0
15.0,375.0,5.820714917171014e-54,0,-0.013561125030113856,0.013045391121935078,0.0
15.0,385.0,3.402808951609471e-56,0,-0.012917890460706436,0.01303244542613889,0.0
25.0,5.0,0.0,0,0.0,-0.012940531704536042,0.0
25.0,15.0,0.0,0,-0.016795947714501807,-0.012760985339900563,0.0
25.0,25.0,0.0,0,-0.017598506479449626,-0.012527647057858918,0.0
25.0,35.0,0.0,0,-0.018428472693095048,-0.012234239990879386,0.0
25.0,45.0,0.0,0,-0.01928253925442673,-0.011874193767841462,0.0
25.0,55.0,0.0,0,-0.020156158350509778,-0.011440777089201673,0.0
25.0,65.0,0.0,0,-0.021043304624197668,-0.010927295849448054,0.0
25.0,75.0,0.0,0,-0.021936229552261176,-0.010327372920807196,0.0
25.0,85.0,0.0,0,-0.02282522878699641,-0.00963532384075165,0.0
25.0,95.0,0.0,0,-0.023698457030877328,-0.008846636227065753,0.0
25.0,105.0,0.0,0,-0.024541839716705385,-0.00795854780533062,0.0
25.0,115.0,0.0,0,-0.02533914438559821,-0.006970697114603455,0.0
25.0,125.0,0.0,0,-0.02607228186860785,-0.005885792746929099,0.0
25.0,135.0,0.0,0,-0.026721900772108315,-0.004710215211982856,0.0
25.0,145.0,0.0,0,-0.027268310649907652,-0.0034544384198293156,0.0
25.0,155.0,0.0,0,-0.027692715429432493,-0.002133147319131303,0.0
25.0,165.0,0.0,0,-0.027978663477546357,-0.0007649467343979203,0.0
25.0,175.0,0.0,0,-0.02811354064204013,0.0006283895336602467,0.0
25.0,185.0,0.0,0,-0.028089874790917353,0.002023096379921124,0.0
25.0,195.0,0.0,0,-0.027906213266216166,0.003394895302121648,0.0
25.0,205.0,1.305127615021012e-54,0,-0.027567393584721184,0.004720572261591679,0.0
25.0,215.0,6.55826449034215e-55,0,-0.02708414304041032,0.005979427833921614,0.0
25.0,225.0,4.574372001935639e-55,0,-0.02647208016882317,0.007154401584619826,0.0
25.0,235.0,4.620720899021412e-55,0,-0.02575030551782132,0.008232748322876019,0.0
25.0,245.0,5.885593797554053e-55,0,-0.02493982651342375,0.009206238975207937,0.0
25.0,255.0,8.983285965152125e-55,0,-0.024062051994996062,0.010070943631855244,0.0
25.0,265.0,1.5839309000401536e-54,0,-0.023137531792001155,0.010826708573955398,0.0
25.0,275.0,3.1703656105626864e-54,0,-0.022185034281563383,0.011476457174019843,0.0
