i_grad,alfa,m,k_f,por
0.01,330.0,10.0,8.461029220211604,0.2894450906382895
0.0016906967504583766,281.25124063744624,10.0,5.443751625728288,0.4
0.001,296.37857540141977,5.0,15.498597009538093,0.2
0.01,270.0,10.0,20.0,0.3748957910113283
0.01,330.0,5.0,5.0,0.2
0.001,313.3960776415752,8.165073935013538,5.0,0.4
0.01,330.0,10.0,20.0,0.4
0.01,270.0,10.0,15.975515284088868,0.2
0.01,270.0,10.0,5.0,0.4
0.0016884596398593762,312.8979246626603,5.0,19.309769734565997,0.29071403598850154
0.001,270.0,10.0,20.0,0.2
0.01,330.0,10.0,10.671322305959949,0.2
0.01,330.0,5.0,5.296714467429507,0.2
0.009562844028525768,311.487773491022,10.0,20.0,0.2
0.01,330.0,10.0,5.0,0.4
0.01,270.0,7.757748884163378,5.0,0.4
0.01,330.0,9.099836099082495,19.62210249200916,0.2
0.01,270.0,9.113632033305306,5.0,0.2
0.001328996118010945,330.0,10.0,20.0,0.2
0.01,330.0,10.0,20.0,0.4
0.001,330.0,10.0,5.0,0.4
0.01,270.0,9.809565452089316,8.178422530096928,0.4
0.002467644493942543,270.0,5.0,14.48466549170946,0.2522961331270779
0.0025453529215598795,330.0,10.0,10.608758501835805,0.2985417801392642
0.01,270.0,10.0,20.0,0.38348700619836124
0.0051121217542100675,330.0,5.0,5.0,0.2
0.008165025050787833,270.0,5.0,6.10621299083505,0.2
0.004606111614225422,330.0,5.0,5.0,0.4
0.0053831174713810555,270.0,10.0,5.0,0.233761810162723
0.001,270.0,10.0,5.0,0.34183536191635433
0.001,270.0,5.015119955164243,5.0,0.2
0.00836405040947126,270.0,5.987062275913545,15.84536972703796,0.2
0.001,330.0,6.005325341694722,5.0,0.2
0.008717399411558415,330.0,5.801625910229564,20.0,0.4
0.01,270.0,6.487090276518265,5.861317997112456,0.264799943849578
0.01,330.0,8.125442561776763,5.0,0.2
0.001,330.0,10.0,20.0,0.21762418634933783
0.0026707729668548727,270.0,5.0,12.196956806188542,0.4
0.01,302.66098324794564,5.0,5.0,0.4
0.001,330.0,10.0,20.0,0.4
0.004832091209158615,270.0,10.0,20.0,0.4
0.001,330.0,5.0,8.447866835476491,0.2855270187892483
0.003560393983081111,330.0,8.798762637999252,5.0,0.4
0.001,330.0,10.0,5.2717132923594985,0.4
0.0025362604585479668,330.0,10.0,20.0,0.20967764302245862
0.006155423145035882,307.62526293526844,10.0,20.0,0.3808825296599448
0.01,330.0,5.0,7.949986808661419,0.4
0.0021336724146177894,330.0,5.0,9.221952377434636,0.4
0.01,270.0,10.0,20.0,0.2
0.01,295.8666426184704,10.0,9.224448425076002,0.2
0.01,270.0,10.0,14.636771594615437,0.4
0.01,299.72514564892424,5.0,5.0,0.2
0.001,270.0,10.0,15.72186136293823,0.4
0.01,330.0,10.0,12.98792233135848,0.4
0.0023429092475144957,319.8554261177555,5.0,5.0,0.21700938809369894
0.0034885024102516743,270.0,7.597650319842386,5.0,0.4
0.01,330.0,5.209106472321498,20.0,0.4
0.01,330.0,5.0,11.232339365838019,0.37795208435862077
0.01,280.2968440103663,10.0,5.0,0.2
0.01,270.0,10.0,20.0,0.4
0.001,330.0,10.0,20.0,0.4
0.008656389502024301,330.0,10.0,10.853551694121089,0.4
0.005549016460909634,330.0,10.0,5.0,0.4
0.01,270.0,10.0,20.0,0.27356515987629704
0.0066102227561423855,330.0,10.0,16.47497413221677,0.2
0.008318341353855577,330.0,5.0,10.797469757674303,0.4
0.002143213460736149,330.0,8.778490779457098,20.0,0.4
0.009381932254048436,270.0,5.0,10.029016267294367,0.2
0.0017418171035927695,270.0,10.0,20.0,0.35180641368377075
0.007194671800013991,270.0,5.0,5.032624422401324,0.293323469270986
0.001858661936922962,330.0,5.0,9.699915241102943,0.4
0.005033083427189143,301.0630366375764,6.745660822299103,5.0,0.2
0.001,330.0,5.0,5.0,0.21618375957871952
0.0035821985384233484,289.1090834919742,10.0,20.0,0.2
0.00677738234799797,299.97366537444594,10.0,5.0,0.2763932323170859
0.01,270.0,6.602041236313163,20.0,0.21090507610670245
0.001,270.0,9.174870678404256,7.133016247022886,0.2
0.00472152836333257,330.0,5.348228700800094,5.0,0.2470375575099759
0.01,316.3347212626923,10.0,20.0,0.4
0.01,270.0,10.0,5.0,0.4
0.001,270.0,5.0,15.98090336669271,0.2
0.0038270291951015434,330.0,10.0,20.0,0.4
0.01,296.61587280313006,8.05794364651838,5.0,0.2
0.001,330.0,9.418410573471494,20.0,0.22832734127138238
0.001,330.0,10.0,5.0,0.33790443888133503
0.01,306.5881025513246,10.0,5.0,0.2
0.001,330.0,5.0,5.0,0.2616867030952345
0.01,270.0,5.0,20.0,0.4
0.001,323.97314015318466,5.0,20.0,0.23562279663666091
0.005228022467250832,330.0,10.0,20.0,0.4
0.004028368474199657,330.0,10.0,20.0,0.38817151476606326
0.005775760509277472,330.0,10.0,20.0,0.4
0.0024751812954029967,290.8124374699504,10.0,20.0,0.3077976796908188
0.001,330.0,10.0,10.40384041279179,0.2
0.005313714355555992,270.0,10.0,7.298617169536984,0.22714590471826196
0.001,270.0,5.0,9.469463822087071,0.2
0.01,324.1091066595946,6.085114161189079,5.0,0.3758034813823353
0.001,330.0,10.0,20.0,0.25933493017351117
0.00164757042630227,330.0,5.0,8.760856508451774,0.4
0.01,330.0,10.0,5.0,0.4
