i_grad,alfa,m,k_f,por
0.0030142377899379834,270.0,5.0,20.0,0.4
0.01,330.0,9.784264810894243,10.370627842897983,0.4
0.01,330.0,5.0,5.0,0.2
0.00565527927677309,270.0,10.0,16.75042594642709,0.2
0.0014518057528062351,270.0,5.0,8.285794400322906,0.4
0.0011111297906949463,270.0,10.0,5.0,0.4
0.001,270.0,5.0,5.0,0.2
0.0027953089333153567,330.0,5.0,20.0,0.4
0.01,330.0,5.0,20.0,0.4
0.001,270.0,6.360981799772498,20.0,0.3134988904004327
0.008892828442257196,270.0,5.0,20.0,0.22498211192045886
0.001,330.0,10.0,5.0,0.2906464555072016
0.001,330.0,9.768099994758439,20.0,0.2305353936053596
0.001,270.0,5.0,20.0,0.2
0.01,330.0,5.0,5.0,0.2
0.008515433160418537,330.0,5.0,5.0,0.4
0.01,330.0,5.0,20.0,0.4
0.0016332391201958876,270.0,5.855527838215772,13.252139952023478,0.20658716193810195
0.01,330.0,5.0,13.966320846582347,0.4
0.01,270.0,10.0,20.0,0.2
0.01,314.6853349048907,10.0,20.0,0.4
0.01,270.0,5.329305124528097,10.713050724095071,0.2820235426291366
0.002268677447246355,270.0,9.500577137778533,12.95266188578932,0.2
0.003915727277270453,330.0,5.0,5.0,0.4
0.01,270.0,5.0,5.0,0.4
0.006057520526996579,288.72253487025,5.0,5.121256090121009,0.2555696623767099
0.01,330.0,5.0,5.0,0.4
0.004172314094132301,330.0,5.339949551985029,5.0,0.4
0.0011990635600383037,330.0,10.0,20.0,0.22902272590768127
0.001,330.0,5.0,20.0,0.2
0.01,270.0,5.0,20.0,0.26449162721009384
0.003519488166082686,330.0,8.09794388989125,5.0,0.4
0.01,270.0,9.891031829229274,5.0,0.31609879783032835
0.001,270.0,10.0,5.821770768518766,0.2
0.01,270.0,5.0,12.996169986700965,0.2
0.003475952679180866,278.3194847077891,5.81220427090772,13.889785059399365,0.4
0.001,330.0,5.0,20.0,0.2
0.01,315.7113262583257,5.0,5.0,0.2273315117305936
0.006547986523175663,270.0,8.674825756131094,5.0,0.2
0.009844299470947096,270.0,10.0,9.036212950120671,0.4
0.001,270.0,5.0,9.938545016296215,0.2881639727025551
0.005907106917982339,330.0,10.0,20.0,0.4
0.01,330.0,10.0,5.190323327206632,0.4
0.0016612581700000911,270.0,10.0,5.037832507090893,0.2
0.01,290.9795415852689,10.0,5.0,0.4
0.001470359953449595,270.0,5.0,11.746857229344581,0.4
0.01,270.0,5.0,14.662675900440176,0.4
0.01,285.00756624928107,9.689307251555766,5.6365661111172525,0.4
0.00170435402015282,330.0,10.0,17.848270483798967,0.25767297665773337
0.001,270.0,10.0,20.0,0.4
0.001143306823350066,270.0,5.0,20.0,0.4
0.01,330.0,5.0,20.0,0.4
0.01,330.0,10.0,5.0,0.4
0.003230504868089187,330.0,10.0,16.08345867299565,0.2
0.004788344582207025,270.0,5.0,20.0,0.27847506067998207
0.007793586637568472,287.5036396543712,5.599060513905984,20.0,0.2
0.006389294109336777,270.0,5.0,19.11029723057747,0.3056880026741881
0.01,270.0,10.0,20.0,0.4
0.004481099832059314,270.0,5.0,13.794669955900199,0.4
0.003959216625304643,330.0,5.0,5.0,0.2
0.0032436191728940403,311.6525964696386,10.0,7.409489951737068,0.4
0.01,330.0,5.0,20.0,0.23315430753852778
0.004554661035058895,330.0,10.0,5.0,0.2120667425905561
0.01,330.0,5.0,5.0,0.4
0.0015338140395886547,330.0,5.0,5.512859790477184,0.2758286819172659
0.001,330.0,8.348412983073235,8.628097943854987,0.2
0.01,330.0,5.0,20.0,0.4
0.007245859748445441,299.431236219072,5.0,20.0,0.2
0.01,270.0,10.0,20.0,0.4
0.01,280.6697620625603,5.0,20.0,0.2
0.001,270.0,5.0,5.0,0.20234559557319845
0.001,330.0,10.0,20.0,0.4
0.01,330.0,10.0,6.388637511321286,0.4
0.0014475960997106343,270.0,5.0,5.0,0.24190850185880836
0.01,270.0,10.0,5.0,0.4
0.01,270.0,5.0,20.0,0.2
0.01,270.0,5.0,5.0,0.21649954648629716
0.01,270.0,5.0,10.539953662096085,0.4
0.001401640842406611,330.0,5.0,5.0,0.20277863315999617
0.01,270.0,10.0,20.0,0.22471485369385097
0.01,330.0,5.0,5.0,0.2
0.01,330.0,10.0,20.0,0.2
0.01,278.788586761294,5.0,20.0,0.4
0.0020367412403847996,270.9098697718575,5.0,7.145458575137932,0.2
0.01,330.0,5.0,15.8014092997935,0.4
0.001,330.0,10.0,20.0,0.4
0.001,270.0,5.0,20.0,0.4
0.0028928164563319296,293.93028991921426,5.0,20.0,0.2
0.01,270.0,10.0,5.0,0.2856119613102626
0.01,270.0,5.0,20.0,0.2
0.01,330.0,6.718241899998962,20.0,0.4
0.01,330.0,10.0,5.0,0.2490178016740522
0.01,270.0,5.0,20.0,0.4
0.01,330.0,10.0,20.0,0.2
0.0016087137136828016,270.0,10.0,20.0,0.2
0.001,330.0,10.0,20.0,0.2
0.0016511884451382386,270.0,5.0,5.0,0.20122376246533757
0.0017439065561284104,330.0,5.0,5.0,0.4
0.001,293.252440581643,10.0,20.0,0.2
0.01,330.0,6.1024563956575255,20.0,0.4
